Time_s,Displacement_Linear_m,Displacement_Sine_m,Displacement_Exp_m,Displacement_Poly5_m
0.246,0.017794,0.0269902743902901,0.0501545800903197,0.0086513686715141
0.248,0.0180833333333333,0.0274134937706937,0.0507701726582662,0.0088898765061728
0.25,0.018375,0.0278396267709998,0.0513872401732926,0.0091325100902778
0.252,0.018669,0.0282686617085569,0.0520057582566681,0.0093792883277178
0.254,0.0189653333333333,0.0287005868211555,0.0526257029326067,0.009630229406878
0.256,0.019264,0.0291353902673503,0.0532470506216073,0.0098853507956622
0.258,0.019565,0.0295730601267853,0.0538697781339039,0.0101446692367222
0.26,0.0198683333333333,0.0300135844005202,0.0544938626630232,0.0104082007428951
0.262,0.020174,0.0304569510113594,0.0551192817794501,0.0106759605928474
0.264,0.020482,0.0309031478041835,0.0557460134243966,0.0109479633269274
0.266,0.0207923333333333,0.0313521625462819,0.0563740359036746,0.0112242227432239
0.268,0.021105,0.0318039829276887,0.057003327881669,0.0115047518938333
0.27,0.02142,0.0322585965615198,0.0576338683754119,0.0117895630813333
0.272,0.0217373333333333,0.0327159909843129,0.0582656367487529,0.0120786678554647
0.274,0.022057,0.0331761536563688,0.0588986127066275,0.01237207701002
0.276,0.022379,0.0336390719620953,0.0595327762894188,0.01266980057994
0.278,0.0227033333333333,0.0341047332103534,0.0601681078674137,0.0129718478386173
0.28,0.02303,0.0345731246348046,0.0608045881353495,0.0132782272954074
0.282,0.023359,0.0350442333942614,0.0614421981070514,0.0135889466933474
0.284,0.0236903333333333,0.0355180465730393,0.0620809191101586,0.0139040130070817
0.286,0.024024,0.0359945511813105,0.0627207327809372,0.0142234324409956
0.288,0.02436,0.0364737341554606,0.063361621059179,0.0145472104275556
0.29,0.0246983333333333,0.0369555823584462,0.0640035661831852,0.014875351625858
0.292,0.025039,0.0374400825801555,0.0646465506848315,0.0152078599203844
0.294,0.025382,0.0379272215377701,0.0652905573847167,0.0155447384199644
0.296,0.0257273333333333,0.0384169858761295,0.0659355693873901,0.0158859894569462
0.298,0.026075,0.0389093621680968,0.066581570076658,0.0162316145865741
0.3,0.026425,0.0394043369149274,0.0672285431109684,0.0165816145865741
0.302,0.0267773333333333,0.0399018965466385,0.0678764724188714,0.0169359894569462
0.304,0.027132,0.0404020274223815,0.0685253421945547,0.0172947384199644
0.306,0.027489,0.0409047158308157,0.0691751368934532,0.0176578599203844
0.308,0.0278483333333333,0.0414099479904846,0.0698258412279309,0.018025351625858
0.31,0.02821,0.0419177100501932,0.070477440163034,0.0183972104275556
0.312,0.028574,0.0424279880893881,0.0711299189123148,0.0187734324409956
0.314,0.0289403333333333,0.0429407681185393,0.0717832629337241,0.0191540130070817
