Time_s,Velocity_Linear_mps,Velocity_Sine_mps,Velocity_Exp_mps,Velocity_Poly5_mps
9.89,0.35,0.35,0.35,0.35
9.892,0.35,0.35,0.35,0.35
9.894,0.35,0.35,0.35,0.35
9.896,0.35,0.35,0.35,0.35
9.898,0.35,0.35,0.35,0.35
9.9,0.35,0.35,0.35,0.35
9.902,0.35,0.35,0.35,0.35
9.904,0.35,0.35,0.35,0.35
9.906,0.35,0.35,0.35,0.35
9.908,0.35,0.35,0.35,0.35
9.91,0.35,0.35,0.35,0.35
9.912,0.35,0.35,0.35,0.35
9.914,0.35,0.35,0.35,0.35
9.916,0.35,0.35,0.35,0.35
9.918,0.35,0.35,0.35,0.35
9.92,0.35,0.35,0.35,0.35
9.922,0.35,0.35,0.35,0.35
9.924,0.35,0.35,0.35,0.35
9.926,0.35,0.35,0.35,0.35
9.928,0.35,0.35,0.35,0.35
9.93,0.35,0.35,0.35,0.35
9.932,0.35,0.35,0.35,0.35
9.934,0.35,0.35,0.35,0.35
9.936,0.35,0.35,0.35,0.35
9.938,0.35,0.35,0.35,0.35
9.94,0.35,0.35,0.35,0.35
9.942,0.35,0.35,0.35,0.35
9.944,0.35,0.35,0.35,0.35
9.946,0.35,0.35,0.35,0.35
9.948,0.35,0.35,0.35,0.35
9.95,0.35,0.35,0.35,0.35
9.952,0.35,0.35,0.35,0.35
9.954,0.35,0.35,0.35,0.35
9.956,0.35,0.35,0.35,0.35
9.958,0.35,0.35,0.35,0.35
9.96,0.35,0.35,0.35,0.35
9.962,0.35,0.35,0.35,0.35
9.964,0.35,0.35,0.35,0.35
9.966,0.35,0.35,0.35,0.35
9.968,0.35,0.35,0.35,0.35
9.97,0.35,0.35,0.35,0.35
9.972,0.35,0.35,0.35,0.35
9.974,0.35,0.35,0.35,0.35
9.976,0.35,0.35,0.35,0.35
9.978,0.35,0.35,0.35,0.35
9.98,0.35,0.35,0.35,0.35
9.982,0.35,0.35,0.35,0.35
9.984,0.35,0.35,0.35,0.35
9.986,0.35,0.35,0.35,0.35
9.988,0.35,0.35,0.35,0.35
9.99,0.35,0.35,0.35,0.35
9.992,0.35,0.35,0.35,0.35
9.994,0.35,0.35,0.35,0.35
9.996,0.35,0.35,0.35,0.35
9.998,0.35,0.35,0.35,0.35
10.0,0.35,0.35,0.35,0.35
10.002,0.35,0.35,0.35,0.35
10.004,0.35,0.35,0.35,0.35
10.006,0.35,0.35,0.35,0.35
10.008,0.35,0.35,0.35,0.35
10.01,0.35,0.35,0.35,0.35
10.012,0.35,0.35,0.35,0.35
10.014,0.35,0.35,0.35,0.35
10.016,0.35,0.35,0.35,0.35
10.018,0.35,0.35,0.35,0.35
10.02,0.35,0.35,0.35,0.35
10.022,0.35,0.35,0.35,0.35
10.024,0.35,0.35,0.35,0.35
10.026,0.35,0.35,0.35,0.35
10.028,0.35,0.35,0.35,0.35
10.03,0.35,0.35,0.35,0.35
10.032,0.35,0.35,0.35,0.35
10.034,0.35,0.35,0.35,0.35
10.036,0.35,0.35,0.35,0.35
10.038,0.35,0.35,0.35,0.35
10.04,0.35,0.35,0.35,0.35
10.042,0.35,0.35,0.35,0.35
10.044,0.35,0.35,0.35,0.35
10.046,0.35,0.35,0.35,0.35
10.048,0.35,0.35,0.35,0.35
10.05,0.35,0.35,0.35,0.35
10.052,0.35,0.35,0.35,0.35
10.054,0.35,0.35,0.35,0.35
10.056,0.35,0.35,0.35,0.35
10.058,0.35,0.35,0.35,0.35
10.06,0.35,0.35,0.35,0.35
10.062,0.35,0.35,0.35,0.35
10.064,0.35,0.35,0.35,0.35
10.066,0.35,0.35,0.35,0.35
10.068,0.35,0.35,0.35,0.35
10.07,0.35,0.35,0.35,0.35
10.072,0.35,0.35,0.35,0.35
10.074,0.35,0.35,0.35,0.35
10.076,0.35,0.35,0.35,0.35
10.078,0.35,0.35,0.35,0.35
10.08,0.35,0.35,0.35,0.35
10.082,0.35,0.35,0.35,0.35
10.084,0.35,0.35,0.35,0.35
10.086,0.35,0.35,0.35,0.35
10.088,0.35,0.35,0.35,0.35
10.09,0.35,0.35,0.35,0.35
10.092,0.35,0.35,0.35,0.35
10.094,0.35,0.35,0.35,0.35
10.096,0.35,0.35,0.35,0.35
10.098,0.35,0.35,0.35,0.35
10.1,0.35,0.35,0.35,0.35
10.102,0.35,0.35,0.35,0.35
10.104,0.35,0.35,0.35,0.35
10.106,0.35,0.35,0.35,0.35
10.108,0.35,0.35,0.35,0.35
10.11,0.35,0.35,0.35,0.35
10.112,0.35,0.35,0.35,0.35
10.114,0.35,0.35,0.35,0.35
10.116,0.35,0.35,0.35,0.35
10.118,0.35,0.35,0.35,0.35
10.12,0.35,0.35,0.35,0.35
10.122,0.35,0.35,0.35,0.35
10.124,0.35,0.35,0.35,0.35
10.126,0.35,0.35,0.35,0.35
10.128,0.35,0.35,0.35,0.35
10.13,0.35,0.35,0.35,0.35
10.132,0.35,0.35,0.35,0.35
10.134,0.35,0.35,0.35,0.35
10.136,0.35,0.35,0.35,0.35
10.138,0.35,0.35,0.35,0.35
10.14,0.35,0.35,0.35,0.35
10.142,0.35,0.35,0.35,0.35
10.144,0.35,0.35,0.35,0.35
10.146,0.35,0.35,0.35,0.35
10.148,0.35,0.35,0.35,0.35
10.15,0.35,0.35,0.35,0.35
10.152,0.35,0.35,0.35,0.35
10.154,0.35,0.35,0.35,0.35
10.156,0.35,0.35,0.35,0.35
10.158,0.35,0.35,0.35,0.35
10.16,0.35,0.35,0.35,0.35
10.162,0.35,0.35,0.35,0.35
10.164,0.35,0.35,0.35,0.35
10.166,0.35,0.35,0.35,0.35
10.168,0.35,0.35,0.35,0.35
10.17,0.35,0.35,0.35,0.35
10.172,0.35,0.35,0.35,0.35
10.174,0.35,0.35,0.35,0.35
10.176,0.35,0.35,0.35,0.35
10.178,0.35,0.35,0.35,0.35
10.18,0.35,0.35,0.35,0.35
10.182,0.35,0.35,0.35,0.35
10.184,0.35,0.35,0.35,0.35
10.186,0.35,0.35,0.35,0.35
10.188,0.35,0.35,0.35,0.35
10.19,0.35,0.35,0.35,0.35
10.192,0.35,0.35,0.35,0.35
10.194,0.35,0.35,0.35,0.35
10.196,0.35,0.35,0.35,0.35
10.198,0.35,0.35,0.35,0.35
10.2,0.35,0.35,0.35,0.35
10.202,0.35,0.35,0.35,0.35
10.204,0.35,0.35,0.35,0.35
10.206,0.35,0.35,0.35,0.35
10.208,0.35,0.35,0.35,0.35
10.21,0.35,0.35,0.35,0.35
10.212,0.35,0.35,0.35,0.35
10.214,0.35,0.35,0.35,0.35
10.216,0.35,0.35,0.35,0.35
10.218,0.35,0.35,0.35,0.35
10.22,0.35,0.35,0.35,0.35
10.222,0.35,0.35,0.35,0.35
10.224,0.35,0.35,0.35,0.35
10.226,0.35,0.35,0.35,0.35
10.228,0.35,0.35,0.35,0.35
10.23,0.35,0.35,0.35,0.35
10.232,0.35,0.35,0.35,0.35
10.234,0.35,0.35,0.35,0.35
10.236,0.35,0.35,0.35,0.35
10.238,0.35,0.35,0.35,0.35
10.24,0.35,0.35,0.35,0.35
10.242,0.35,0.35,0.35,0.35
10.244,0.35,0.35,0.35,0.35
10.246,0.35,0.35,0.35,0.35
10.248,0.35,0.35,0.35,0.35
10.25,0.35,0.35,0.35,0.35
10.252,0.35,0.35,0.35,0.35
10.254,0.35,0.35,0.35,0.35
10.256,0.35,0.35,0.35,0.35
10.258,0.35,0.35,0.35,0.35
10.26,0.35,0.35,0.35,0.35
10.262,0.35,0.35,0.35,0.35
10.264,0.35,0.35,0.35,0.35
10.266,0.35,0.35,0.35,0.35
10.268,0.35,0.35,0.35,0.35
10.27,0.35,0.35,0.35,0.35
10.272,0.35,0.35,0.35,0.35
10.274,0.35,0.35,0.35,0.35
10.276,0.35,0.35,0.35,0.35
10.278,0.35,0.35,0.35,0.35
10.28,0.35,0.35,0.35,0.35
10.282,0.35,0.35,0.35,0.35
10.284,0.35,0.35,0.35,0.35
10.286,0.35,0.35,0.35,0.35
10.288,0.35,0.35,0.35,0.35
10.29,0.35,0.35,0.35,0.35
10.292,0.35,0.35,0.35,0.35
10.294,0.35,0.35,0.35,0.35
10.296,0.35,0.35,0.35,0.35
10.298,0.35,0.35,0.35,0.35
10.3,0.35,0.35,0.35,0.35
10.302,0.35,0.35,0.35,0.35
10.304,0.35,0.35,0.35,0.35
10.306,0.35,0.35,0.35,0.35
10.308,0.35,0.35,0.35,0.35
10.31,0.35,0.35,0.35,0.35
10.312,0.35,0.35,0.35,0.35
10.314,0.35,0.35,0.35,0.35
10.316,0.35,0.35,0.35,0.35
10.318,0.35,0.35,0.35,0.35
10.32,0.35,0.35,0.35,0.35
10.322,0.35,0.35,0.35,0.35
10.324,0.35,0.35,0.35,0.35
10.326,0.35,0.35,0.35,0.35
10.328,0.35,0.35,0.35,0.35
10.33,0.35,0.35,0.35,0.35
10.332,0.35,0.35,0.35,0.35
10.334,0.35,0.35,0.35,0.35
10.336,0.35,0.35,0.35,0.35
10.338,0.35,0.35,0.35,0.35
10.34,0.35,0.35,0.35,0.35
10.342,0.35,0.35,0.35,0.35
10.344,0.35,0.35,0.35,0.35
10.346,0.35,0.35,0.35,0.35
10.348,0.35,0.35,0.35,0.35
10.35,0.35,0.35,0.35,0.35
10.352,0.35,0.35,0.35,0.35
10.354,0.35,0.35,0.35,0.35
10.356,0.35,0.35,0.35,0.35
10.358,0.35,0.35,0.35,0.35
10.36,0.35,0.35,0.35,0.35
10.362,0.35,0.35,0.35,0.35
10.364,0.35,0.35,0.35,0.35
10.366,0.35,0.35,0.35,0.35
10.368,0.35,0.35,0.35,0.35
10.37,0.35,0.35,0.35,0.35
10.372,0.35,0.35,0.35,0.35
10.374,0.35,0.35,0.35,0.35
10.376,0.35,0.35,0.35,0.35
10.378,0.35,0.35,0.35,0.35
10.38,0.35,0.35,0.35,0.35
